191,175.078,1028,Object 2 IMAG064.BMP
285,193.29,390,Object 3 IMAG064.BMP
195,174.831,1079,Object 4 IMAG064.BMP
127,189.461,343,Object 5 IMAG064.BMP
293,184.92,541,Object 0 IMAG065.BMP
117,40.7438,634,Object 1 IMAG065.BMP
191,174.405,1029,Object 2 IMAG065.BMP
305,191.213,515,Object 3 IMAG065.BMP
199,173.92,1074,Object 4 IMAG065.BMP
127,189.215,330,Object 5 IMAG065.BMP
117,34.4736,635,Object 0 IMAG066.BMP
177,170.713,911,Object 1 IMAG066.BMP
119,35.7606,660,Object 2 IMAG066.BMP
303,191.033,525,Object 3 IMAG066.BMP
201,174.631,1086,Object 4 IMAG066.BMP
123,189.047,328,Object 5 IMAG066.BMP
171,166.507,891,Object 0 IMAG067.BMP
297,162.444,427,Object 1 IMAG067.BMP
117,44.9841,641,Object 2 IMAG067.BMP
193,168.562,988,Object 3 IMAG067.BMP
301,190.973,535,Object 4 IMAG067.BMP
311,194.018,468,Object 5 IMAG067.BMP
181,183.149,302,Object 6 IMAG067.BMP
169,169.89,924,Object 0 IMAG068.BMP
299,163.276,445,Object 1 IMAG068.BMP
113,52.8289,620,Object 2 IMAG068.BMP
297,194.243,473,Object 3 IMAG068.BMP
277,193.867,425,Object 4 IMAG068.BMP
307,194.061,475,Object 5 IMAG068.BMP
145,183.338,322,Object 6 IMAG068.BMP
293,194.946,442,Object 0 IMAG069.BMP
163,171.656,935,Object 1 IMAG069.BMP
169,195.95,331,Object 2 IMAG069.BMP
293,194.129,457,Object 3 IMAG069.BMP
281,193.401,431,Object 4 IMAG069.BMP
301,167.272,576,Object 5 IMAG069.BMP
245,190.617,455,Object 6 IMAG069.BMP
287,195.097,418,Object 0 IMAG070.BMP
167,171.346,913,Object 1 IMAG070.BMP
117,33.9632,638,Object 2 IMAG070.BMP
119,44.9232,652,Object 3 IMAG070.BMP
281,193.686,414,Object 4 IMAG070.BMP
293,156.227,444,Object 5 IMAG070.BMP
249,190.609,439,Object 6 IMAG070.BMP
289,194.912,452,Object 0 IMAG071.BMP
163,171.957,933,Object 1 IMAG071.BMP
117,47.4305,647,Object 2 IMAG071.BMP
119,35.6687,661,Object 3 IMAG071.BMP
281,193.392,427,Object 4 IMAG071.BMP
271,168.927,808,Object 5 IMAG071.BMP
191,140.339,1096,Object 6 IMAG071.BMP
169,171.969,955,Object 0 IMAG072.BMP
163,171.729,920,Object 1 IMAG072.BMP
117,37.3128,643,Object 2 IMAG072.BMP
119,33.2589,663,Object 3 IMAG072.BMP
281,193.74,416,Object 4 IMAG072.BMP
271,168.284,807,Object 5 IMAG072.BMP
191,140.687,1091,Object 6 IMAG072.BMP
117,49.9115,613,Object 0 IMAG073.BMP
